Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
03/27/2021 11:00:31.504	POWERPNT (0x11A0)	0x4A8C	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Canvas.GraphImport.EntryPointAppear","Flags":30962256044949761,"InternalSequenceNumber":27,"Time":"2021-03-27T11:00:31.504Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.1.13.1.2","Activity.Duration":382,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":-6,"Activity.Result.Type":"EntryPointResult","Data.DetachedDuration":11,"Data.GoLocalRequestSent":false}	
03/27/2021 11:00:31.709	POWERPNT (0x11A0)	0x525C	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.LoadXmlRules","Flags":33777014401990913,"InternalSequenceNumber":30,"Time":"2021-03-27T11:00:31.709Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.7.3","Activity.Duration":48731,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT"}	
03/27/2021 11:00:31.713	POWERPNT (0x11A0)	0x525C	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.ProcessIdleQueueJob","Flags":33777014401990913,"InternalSequenceNumber":31,"Time":"2021-03-27T11:00:31.713Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.7","Activity.Duration":513651,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
03/27/2021 11:00:32.193	POWERPNT (0x11A0)	0x4A8C	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Text.GDIAssistant.RegisterCloudFontCallback","Flags":30962256044949761,"InternalSequenceNumber":37,"Time":"2021-03-27T11:00:32.193Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.15.2","Activity.Duration":6,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
03/27/2021 11:00:32.202	POWERPNT (0x11A0)	0x4A8C	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Text.GDIAssistant.HandleCallback","Flags":30962256044949761,"InternalSequenceNumber":38,"Time":"2021-03-27T11:00:32.202Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.15.3","Activity.Duration":40,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.GdiFamilyName":"","Data.CloudFontStatus":6,"Data.CloudFontTypes":256}	
03/27/2021 11:00:32.216	POWERPNT (0x11A0)	0x4A8C	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Text.ResourceClient.Deserialize","Flags":30962256044998401,"InternalSequenceNumber":40,"Time":"2021-03-27T11:00:32.216Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.15.4","Activity.Duration":11047,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.JsonFileMajorVersion":4,"Data.JsonFileMinorVersion":10}	
03/27/2021 11:00:32.305	POWERPNT (0x11A0)	0x4A8C	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Text.GDIAssistant.HandleCallback","Flags":30962256044949761,"InternalSequenceNumber":42,"Time":"2021-03-27T11:00:32.305Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.15.5","Activity.Duration":30,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.GdiFamilyName":"","Data.CloudFontStatus":4,"Data.CloudFontTypes":256}	
03/27/2021 11:00:32.305	POWERPNT (0x11A0)	0x74C	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Text.ResourceClient.GetBaseURL","Flags":30962256044949761,"InternalSequenceNumber":43,"Time":"2021-03-27T11:00:32.305Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.16","Activity.Duration":55,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
03/27/2021 11:00:32.305	POWERPNT (0x11A0)	0x3E68	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Text.ResourceClient.GetBaseURL","Flags":30962256044949761,"InternalSequenceNumber":44,"Time":"2021-03-27T11:00:32.305Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.17.1","Activity.Duration":32,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
03/27/2021 11:00:32.537	POWERPNT (0x11A0)	0x3E68	Microsoft PowerPoint	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Text.ResourceClient.RequestResourceInternal","Flags":30962256044949761,"InternalSequenceNumber":50,"Time":"2021-03-27T11:00:32.537Z","Contract":"Office.System.Activity","Activity.CV":"9itZttzfdECcnH8oD4tBMg.17.2","Activity.Duration":231271,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.ResourceToken":"flatFontAssets.pkg","Data.RequestUrl":"https://fs.microsoft.com/fs/4.14/flatFontAssets.pkg","Data.HttpStatusCode":200,"Data.isInternetOnAndRegularMode":true,"Data.HttpResult":"OK"}	
